+-----------------------------------------+--------------------+----------+-----------------------------------+
| File                                    | Execution Time     | Action   | Signature                         |
+-----------------------------------------+--------------------+----------+-----------------------------------+
| Unknown file                            | 0.045061111450195  | Allocate | test()                            |
| Unknown file                            | 0.01215934753418   | Allocate | test-2()                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.153779983520508  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.097036361694336  | Execute  | test(10)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.091791152954102  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.060081481933594  | Execute  | test(20, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.084877014160156  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.054121017456055  | Execute  | test(30)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08702278137207   | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.055074691772461  | Execute  | test(40, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.085830688476563  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.055074691772461  | Execute  | test(50)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.094175338745117  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.052928924560547  | Execute  | test(60, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092029571533203  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.053882598876953  | Execute  | test(70)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.125885009765625  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.079870223999023  | Execute  | test(80, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.110864639282227  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.060796737670898  | Execute  | test(90)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092983245849609  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.060081481933594  | Execute  | test(100, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.088930130004883  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.057220458984375  | Execute  | test(110)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.079154968261719  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(120, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.053167343139648  | Execute  | test(130)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.079154968261719  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056982040405273  | Execute  | test(140, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.129938125610352  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082015991210938  | Execute  | test(150)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.091075897216797  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.060796737670898  | Execute  | test(160, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.080108642578125  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.066041946411133  | Execute  | test(170)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.078201293945313  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(180, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.087976455688477  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(190)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.086069107055664  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051021575927734  | Execute  | test(200, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.063896179199219  | Execute  | test(210)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.072956085205078  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.061273574829102  | Execute  | test(220, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08702278137207   | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.047922134399414  | Execute  | test(230)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082254409790039  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.057697296142578  | Execute  | test(240, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.17094612121582   | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.109195709228516  | Execute  | test(250)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.108003616333008  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.085115432739258  | Execute  | test(260, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.135183334350586  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.18310546875      | Execute  | test(270)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.111818313598633  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.069141387939453  | Execute  | test(280, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.053167343139648  | Execute  | test(290)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.087976455688477  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(300, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(310)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.109195709228516  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.084877014160156  | Execute  | test(320, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.095129013061523  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168   | Execute  | test(330)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.081062316894531  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.059127807617188  | Execute  | test(340, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.078201293945313  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.053882598876953  | Execute  | test(350)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.051975250244141  | Execute  | test(360, "dummy")                |
